Age	EDC__D
14158	-412
14186	-407,5
14212	-403,4
14238	-402,3
14265	-405,9
14293	-410,4
14320	-410,8
14348	-413,4
14375	-406
14402	-402,6
14429	-404,3
14456	-406,9
14482	-411,2
14507	-392,2
14531	-397,7
14554	-399,1
14578	-402,3
14603	-401,1
14628	-403,9
14655	-401,2
14683	-418,2
14711	-408,8
14739	-402,3
14767	-411,1
14795	-411,1
14824	-407,3
14853	-413,6
14882	-411,2
14912	-418,6
14943	-415,7
14974	-411,3
15005	-416,2
15034	-412,6
15064	-407,6
15093	-410,1
15122	-411,6
15150	-407,5
15180	-409,9
15210	-411,3
15240	-419
15269	-399,4
15298	-413
15327	-416,4
15356	-416,3
15386	-410
15416	-410,7
15446	-412,7
15476	-411,8
15506	-414,2
15538	-416,6
15570	-420
15603	-418,5
15636	-419,6
15669	-418,7
15703	-420,1
15735	-419,8
15767	-414
15800	-416,2
15832	-417,6
15865	-421,6
15898	-416,6
15931	-423,8
15964	-414,2
15997	-417,8
16030	-416,9
16062	-419,1
16095	-417,3
16128	-419,1
16163	-420,3
16197	-422,5
16231	-417,7
16266	-425,4
16300	-420,8
16336	-421,1
16372	-424,1
16408	-426,8
16444	-425,9
16479	-420,9
16515	-421,9
16551	-421,7
16587	-422,6
16623	-429,8
16660	-423,9
16696	-421,9
16733	-425,8
16770	-426
16808	-425,7
16846	-426,4
16884	-434,2
16924	-427,5
16964	-429,9

